40,ci: add ci-base workflow and shared/api primitives (HMAC, idempotency…,closed,ci/ci-base,main,2025-09-01T20:54:25Z,d869ef5f93e2a7aecfd005be7b72c6be50b0bd03
39,Copilot/vscode1756755281712,closed,copilot/vscode1756755281712,main,2025-09-01T20:42:59Z,86a0f554eb02ef9310e97fefb4efa1e3c094fdbf
38,feat(seed): add agents_master.json and Zod validator (PR-13),closed,copilot/fix-eb284984-4d59-4366-9726-57f2dedfa4ed,feature/pr-4-api,2025-09-01T20:13:12Z,79444d13e2e6debdffb982a9f40d10fd0a2d8c07
37,Feature/pr 4 api,closed,feature/pr-4-api,main,2025-09-01T20:09:26Z,eb67ade39d94abe58d7cb74a9fbc01599d0ed151
36,ci: add OIDC setup and example deploy workflow,closed,copilot/vscode1756755281712,main,2025-09-01T19:40:54Z,ff6d45f90b5579b587069dd6c0b09dd363e6225d
35,ci(workflows): update OIDC documentation and ensure azure/login@v2 consistency,closed,copilot/fix-f109cb07-c34b-40b4-8f88-ead3e80dd275,copilot/vscode1756755281712,2025-09-01T20:14:50Z,1e251b6e0a61ba9b085b4b5ce3eb3e236ce351cc
34,Feature/pr 42 OIDC deploy,closed,feature/pr-42-oidc-deploy,main,2025-09-01T19:35:43Z,4e7fc23beeb7a00c9406493217d8c551579f2619
33,chore(pr-42): continue PR-42 (SEPA + GDPR) — local type fixes and shims,closed,feature/pr-42-sepa,main,2025-09-01T19:05:26Z,2ca042d88bf93b5dc845f998be4e57e812af144e
32,chore(db): add migration 002_sepa_schema for PR-42,closed,feature/pr-42-sepa,main,2025-09-01T12:41:12Z,ca56bfb58aecad68c38856326ea23e4be048de81
31,feat(db): add sepa_imports/sepa_movements/reconciliations tables (PR-…,closed,feature/pr-42-sepa,main,2025-09-01T12:39:19Z,8e7c9d5ed64be428deef2b1df8f4fe82ff8349c5
30,Feature/pr 42 sepa,closed,feature/pr-42-sepa,main,2025-09-01T12:37:39Z,1b484ac6ca332a131c5cada4b27cc202ce9cf00f
29,fix(api): resolve tsconfig paths and helmet fallback for compile,closed,chore/compile-api-fixes,main,2025-09-01T12:06:10Z,a8d4482dd13b59514889aea5473e7c5db558d61d
28,chore(api): compile fixes — shims, metrics, observability, auth, ai s…,closed,chore/compile-api-fixes,main,2025-09-01T11:59:25Z,72b863a99dc185e0606e37ded17969678488647f
27,chore(monitoring): consolidar exports y corregir tipos en health/metrics,closed,main,chore/monitoring-fix-shared-exports,2025-09-01T11:25:51Z,d40daaee78720a1e7d4084ceaa841b3119c0bc5e
26,Chore/monitoring fix shared exports,closed,chore/monitoring-fix-shared-exports,main,2025-09-01T10:40:59Z,0e188fabe5b6543849ab20ab854eeddd4d775679
25,chore: remove temp metric files,closed,chore/monitoring-deps-check,main,2025-09-01T10:18:21Z,098c7676ac08659725a07b72de2365f3d126417d
24,PR-41: Advanced Security System - Complete implementation with simpli…,closed,feature/PR-41-advanced-security-system,main,2025-08-31T19:40:13Z,f8cd9c41feb4bd245417355ccfe95713c1c3941a
23,Feature/pr 39 real time collaboration,closed,feature/PR-39-real-time-collaboration,main,null,099bc023918d522510a8de30add2418067b79d60
22,Feature/pr 38 advanced search engine,closed,feature/PR-38-advanced-search-engine,main,null,69c54a74e9cb231e05a86e6d2d74eced67e7370d
21,Feature/pr 37 notification system,closed,feature/PR-37-notification-system,main,null,db502c06b414c44bd5e933cd49fb40f00eaa5416
20,Feature/pr 36 data analytics dashboard,closed,feature/PR-36-data-analytics-dashboard,main,null,b893cae2352acbfb323ac3c2f0141382e585b484
19,PR-35: Implementar sistema de AI Chat avanzado,closed,feature/PR-35-ai-chat-advanced,main,null,19178acb6c06b1eec6307820e5d23c7b68ded958
18,Feature/pr 34 inventory kardex stock alerts,closed,feature/PR-34-inventory-kardex-stock-alerts,main,2025-08-31T11:47:07Z,22c2e204185e43c83482592cdce47ce251a1a55e
17,PR-32: Implementar Sistema de Configuración coherente con Feature Fla…,closed,feature/PR-32-configuration-feature-flags-environment,main,2025-08-30T22:59:56Z,d9dfba13569f0295b54938d8388aa5816b127c0a
16,PR-31: Implementar Sistema de Microservicios coherente con Service Me…,closed,feature/PR-31-microservices-service-mesh-discovery,main,2025-08-30T21:52:33Z,3570e1bad7acce5968fd9cc11550f9347e54a263
